id,name,country,industry,incorporation_date,is_shell,notes
C001,Petrov Holdings,RU,conglomerate,1998-05-10,false,"Synthetic. Sanctioned parent in Petrov chain."
C002,Iron Mountain Holdings,US,holding,2009-02-14,true,"Synthetic. Shell with majority ownership by Petrov Holdings."
C003,Crescent Capital Partners,GB,asset_management,2005-09-22,false,"Synthetic. UK-clean entity."
C004,Delta Energy Solutions,US,energy,2012-07-30,false,"Synthetic. Operating company, indirect Petrov exposure."
C005,Sokolov Capital,RU,banking,2002-03-18,false,"Synthetic. Sanctioned bank."
C006,Falcon Industries,US,industrial,2001-11-04,false,"Synthetic. Director overlap with Iron Mountain."
C007,Apex Logistics,US,logistics,1996-08-12,false,"Synthetic. Clean baseline."
C008,BlueWave Tech,US,software,2015-05-21,false,"Synthetic. Clean baseline."
C009,Echo Pharma Corp,CH,pharmaceuticals,2008-04-09,false,"Synthetic. Clean baseline."
C010,Mansoori Trading Co,AE,trade_finance,2003-12-01,false,"Synthetic. Sanctioned trade entity."
C011,Gulf Trading Ltd,AE,trade_finance,2010-06-15,false,"Synthetic. Partner of Mansoori."
C012,Helix Bio,DE,biotech,2013-10-08,false,"Synthetic. Clean baseline."
C013,Janus Networks,US,telecom,2007-01-25,false,"Synthetic. Clean baseline."
C014,Kestrel Maritime,CY,shipping,2011-03-17,true,"Synthetic. Cypriot shell owned by Markov."
C015,Lumen Analytics,US,software,2018-09-04,false,"Synthetic. Clean baseline."
C016,Chen Tech Group,CN,electronics,2010-02-28,false,"Synthetic. Entity-listed."
C017,Robert Chen Ventures,US,venture_capital,2017-04-11,false,"Synthetic. Founded by Robert Chen."
C018,Volkov Industries,RU,energy,1996-12-19,false,"Synthetic. Sanctioned energy company."
C019,Atlas Shipping,CY,shipping,2009-08-07,true,"Synthetic. Partly owned by Petrov Holdings."
C020,Phoenix Resources,US,energy,2014-06-23,false,"Synthetic. Has trading relationship with Gulf Trading."
