id,list_name,target_entity_id,program,issued_date,summary
S001,OFAC SDN,P001,Russia-EO14024,2022-04-06,"Designated for operating in the Russian Federation economy. Synthetic."
S002,OFAC SDN,C001,Russia-EO14024,2022-04-06,"Owned/controlled by P001 Viktor Petrov. Synthetic."
S003,EU Consolidated,P002,Venezuela-CFSP-2017/2074,2018-01-22,"Listed for undermining democratic processes. Synthetic."
S004,UK HMT,P003,Counter-Terrorism,2019-11-15,"Listed for financing concerns. Synthetic."
S005,OFAC SDN,P004,Russia-EO13662,2023-02-24,"Senior executive in sanctioned Russian financial sector. Synthetic."
S006,OFAC SDN,C005,Russia-EO13662,2023-02-24,"Major Russian bank under sectoral sanctions. Synthetic."
S007,US Entity List,P005,EAR-Entity-List,2020-08-17,"Listed for activities contrary to US national security. Synthetic."
S008,US Entity List,C016,EAR-Entity-List,2020-08-17,"Owned/controlled by P005. Synthetic."
S009,EU Consolidated,P006,Russia-CFSP-2014/145,2022-09-12,"Listed for activities undermining territorial integrity. Synthetic."
S010,EU Consolidated,C018,Russia-CFSP-2014/145,2022-09-12,"Owned/controlled by P006. Synthetic."
S011,OFAC SDN,P007,SDGT,2017-06-30,"Specially Designated Global Terrorist. Synthetic."
S012,OFAC SDN,P008,Russia-EO13662,2023-11-02,"Senior management in sanctioned sector. Synthetic."
S013,UK HMT,C010,Counter-Terrorism,2019-11-15,"Owned/controlled by P003. Synthetic."
